image,label
f9c7e0bc-dfde-4720-b6bd-64bfeb2c55fa.jpg,5
e77efa63-0477-4af2-b56d-c15da31bdad6.jpg,3
f7e20220-14c1-44c0-8d0b-e0ac4bf8b18b.jpg,4
a12ecb02-bca3-4253-b3fd-e3d19765f770.jpg,5
c103d1a1-6027-4c08-baea-54807fe5218a.jpg,0
3f144818-2c26-4038-b48c-763981cc5b49.jpg,9
5846855b-5c89-430c-ba57-d1bed5cec856.jpg,1
a0861f9e-fb45-4337-b80c-7f0b2ef8582f.jpg,14
df6097a1-e252-4d2d-bf7a-2d208f932273.jpg,8
f116a69b-3544-4ffd-8d7b-116def60fdab.jpg,12
271405dc-caae-4414-9e88-56463a546e61.jpg,4
34e679bc-137f-4cde-a732-9dba70a8fbae.jpg,12
9f9a7f2e-11a1-4812-9fa4-d0a5892182aa.jpg,8
0979a14e-051a-4659-8e87-2f6a424e2c12.jpg,13
8c0ed4ce-1389-4e82-9b1c-4059de402988.jpg,8
9da8a351-3fd3-401f-9d17-fd94e58bc9a8.jpg,0
264f8d64-c5f0-45ab-9361-8ea9d8e0f5db.jpg,1
143ea97f-a2fd-4a68-851d-a31e5ba8a92b.jpg,4
53318937-a439-4d5e-89d0-96db472ea7cb.jpg,2
bd6fc5eb-bf25-4339-b55b-22f25bf039c1.jpg,0
9f9ea5fe-6acb-4f44-a803-53678621a6c2.jpg,4
52a76d18-122b-4b19-9643-da4948434667.jpg,2
0c024616-1289-4747-91da-71a4aedd4ced.jpg,0
9b96c318-a9bf-446f-873e-6388906cce86.jpg,5
f82e467e-0a95-4534-9120-e19730dc4e73.jpg,11
7f9275de-c63f-46f2-8328-38bf0ae69655.jpg,0
41b62eed-99a3-4cae-833f-4f1d31b2954a.jpg,0
17936ba2-937a-46d8-afa0-0750abdb3200.jpg,4
d8e945bc-b7ed-4077-ade9-9eb2641c30f3.jpg,4
7f3c9738-92af-49a9-92de-b7e762a93e63.jpg,1
644a1b3b-b434-4bbf-8d12-b81dc1a77bd8.jpg,17
f1727c58-900c-4aca-88a8-10ac8e1bd7f0.jpg,13
0f4428f4-7d85-4d6d-aaa2-65c220a26dd8.jpg,0
